County,Population,Percentage_Population_Black,Median_household_income,Renter,No_HS,Park,Fast_food,Overweight,Sedentary,Medical_checkup,Food_insecurity,ED_Visits_Diabetes
Alachua,266649,20.6,49689,45,7.4,33.2,22.5,27.5,21.8,76,13.4,185.1
Baker,28089,14,63275,24.7,14.3,3.2,0.7,34.3,34.9,78.4,12.2,321.5
Bay,179900,11.7,54316,34.9,9.3,38.6,21.3,36.4,29.7,72.6,15,316.6
Bradford,28455,20.1,45921,30.7,20.4,6.8,2.4,34.3,34.9,78.4,16.4,465.6
Brevard,593372,10.7,56775,25.7,7.8,37.4,20.9,36.6,27.9,78.8,12,229.1
Broward,1927014,30.1,59547,37.9,11,69.8,50.1,37.9,24.1,80.8,9.9,289.5
Calhoun,14982,13.2,38568,18.6,23.1,3.9,0.3,35.3,38.7,69.3,14.7,575.4
Charlotte,182298,6,51499,20.3,9.4,41.9,15.5,39.5,25.8,81.9,13.5,165.2
Citrus,147735,3.2,44237,18.1,11.6,12,5,36.3,32.3,80.7,15.5,172.4
Clay,217109,12.3,65740,25,8.2,20,13.8,34.3,31.6,76.1,10.8,242.6
Collier,377700,7.4,69653,26.7,12.9,20.3,19.2,40.8,25.4,77.2,10.1,136.1
Columbia,70614,18.5,46494,28.6,13.9,8.8,6.7,38.2,36.7,75.9,14.3,405
DeSoto,35718,12.6,35438,30.3,26.5,15.7,3,40.7,32.3,73.8,17.3,307.3
Dixie,16516,9.9,39828,21.4,21.6,4.2,1.2,35.8,38.1,76,12.6,138.2
Duval,971842,30.6,55807,43.3,10.2,40.1,30.9,35.5,29.4,77.3,13,375.9
Escambia,322901,23.2,50915,38,9.5,44.7,23.7,36.3,27,77.3,12.2,417.5
Flagler,110636,10.7,54514,24,7.8,27.2,10.9,35.8,24.7,81.2,15.9,219.6
Franklin,12017,12.4,46643,25.4,19.3,11,0.4,34.6,34.8,74.2,13.6,608.3
Gadsden,47926,55.8,41401,27.1,20.2,7.2,1.2,24.6,38.9,78.6,15,610.6
Gilchrist,17682,5.6,43640,17,14.6,5.2,0.4,36.1,34.5,63.2,13.6,154.9
Glades,13098,13.8,40977,20.4,25.5,1.9,0.1,43.5,36.8,72.4,14,200.8
Gulf,16507,17.1,47712,25.8,14.5,4.8,0.3,38.4,31.4,72.2,19,353.9
Hamilton,14787,32.9,38569,32.1,27,3.4,0.3,29.9,33.1,76.4,15.2,348.7
Hardee,27311,7.5,38682,35.1,22.8,3.6,0.5,36.5,42.7,73.4,15.4,608.1
Hendry,40089,12.1,40820,34.7,33.7,14.7,6.3,29.7,42,72.7,13.9,392.4
Hernando,189661,6,48812,21.9,12.1,10.9,11.8,37.6,31.8,76.2,15.2,219.7
Highlands,103391,10.5,40942,24.7,14.3,20,9.3,36.5,34,78.7,11.6,261.6
Hillsborough,1445243,17.8,58884,41.4,11.3,39.4,27.9,38.6,27.4,77.2,18,234.6
Holmes,20218,6.7,39102,23.6,21.3,3.3,0.7,32.5,40,76.7,11.9,224.4
Indian River,155308,9.5,54740,20.8,10.6,34.7,13.6,34.1,26.7,77.3,15.3,329.9
Jackson,50325,26.9,39872,30.2,19.5,5.9,1.6,33.9,35.7,73.8,12.8,390.7
Jefferson,14842,34.3,47240,23,18,2.6,0.7,35.9,29.6,72.3,10.6,205.7
Lafayette,8613,13.5,50165,15.6,24.7,2.7,0.1,39.3,39.5,70.1,11.9,197.8
Lake,354537,11.3,54513,25.5,10.5,21.3,12.9,34.1,26.4,79,11.6,273.1
Lee,734630,9.1,57832,27.7,11.6,21.1,17.2,37.2,26.2,80.2,12.7,193
Leon,296717,31.7,53106,47,6.5,35.3,26,30.8,19.3,73.5,16.4,338
Levy,41354,9.4,37326,22.3,15.1,3.7,1,37.8,40.2,76.7,15.1,149.7
Liberty,9167,19.5,38015,24.6,18.6,2.9,0.2,36.8,36.5,76.9,16.8,313.6
