County,Total Population,Percentage_Population_White,"Population, White",Median_household_income,Renter,No_HS,Overweight,Sedentary,Medical_checkup,ED_Visits_Diabetes
Alachua,266649,69.9,186388,54994,39.4,5.8,28.5,18.4,77.2,114.9
Baker,28089,83,23314,65909,22.8,13,37.9,34.9,78.1,292.7
Bay,179900,81.7,146978,56846,31.6,8.7,39.3,29.3,73.8,254.9
Bradford,28455,76.8,21853,53235,24.9,17.1,37.9,34.9,78.1,409.1
Brevard,593372,83.2,493686,58804,23.4,6.7,36.3,25.7,79.1,195.9
Broward,1927014,63.2,1217873,64577,32.2,8.8,39.2,22.6,82.3,174.6
Calhoun,14982,82.3,12330,37886,18.1,20.9,33.9,40.5,66.4,438.2
Charlotte,182298,90.4,164797,52284,19.6,8.6,38.7,26.1,82.6,156.5
Citrus,147735,93,137394,44220,17.5,11.5,35.4,32.9,81.6,171
Clay,217109,80.6,174990,66776,22.5,8,34.9,31.5,77.3,208.7
Collier,377700,89.3,337286,71432,25.3,11.3,39,22.9,80.3,91.9
Columbia,70614,77.8,54938,50018,26,13,38.1,34.6,75.7,340.9
DeSoto,35718,84.2,30075,36227,28,25.5,43.2,32.2,76.6,202.8
Dixie,16516,87.3,14418,41014,19,20.2,36.4,38.1,76.7,148.5
Duval,971842,60.8,590880,63471,36.4,8.6,37.8,31.6,78.9,197.8
Escambia,322901,68.9,222479,56446,32.2,7,39.1,24.3,77.4,269.3
Flagler,110636,83.9,92824,55938,22.3,7.4,36.6,24.8,81.1,177.6
Franklin,12017,84.1,10106,46125,23.7,17.1,33.9,33.5,75.5,509.4
Gadsden,47926,41.7,19985,54744,16,13,32.5,33.8,77.8,187.4
Gilchrist,17682,91.1,16108,44020,16.9,13.3,35.2,36.9,67.6,167
Glades,13098,78.7,10308,40822,18.1,24.6,38.2,33.9,85,206.5
Gulf,16507,79.9,13189,49402,25.3,12.9,40.1,31.9,70.3,295.1
Hamilton,14787,63,9316,43663,23.9,22.9,30.1,33.4,70.9,276.1
Hardee,27311,88.5,24170,38835,28.5,21.4,34.8,46.9,74.9,284.7
Hendry,40089,83.6,33514,42060,30.6,35.3,36.3,40.8,79.6,294.7
Hernando,189661,89.8,170316,48819,21,11.7,38.2,32,76.1,198.5
Highlands,103391,85.4,88296,43264,20.3,12.2,35.6,33.2,80.2,196.8
Hillsborough,1445243,74.3,1073816,63437,35.7,9.8,38.7,23.9,76.6,163.8
Holmes,20218,89.1,18014,40413,22.9,20.8,31.4,40.7,75.6,243.1
Indian River,155308,86.9,134963,57104,18.2,9.5,34.8,24.7,78.2,202.1
Jackson,50325,69.2,34825,44863,26.3,16.9,33.8,37.6,71.9,350.2
Jefferson,14842,63.2,9380,57447,17.2,13.1,37.6,22.1,67.3,62
Lafayette,8613,83.8,7218,49693,13.5,21.6,38.8,33.5,74.5,182.8
Lake,354537,83.5,296038,55437,23.5,9.9,36.3,24.9,83,207.1
Lee,734630,86.8,637659,59583,25.1,10,37.6,21.8,82.7,155.6
Leon,296717,61.9,183668,62635,38,4,28.1,15.4,72.1,214.8
Levy,41354,87.1,36019,38275,19.2,14.1,35.9,40.7,74.9,137.1
Liberty,9167,77.2,7077,38072,21.2,16.1,37.6,34.3,76.4,288.6
Madison,19533,59.5,11622,48430,17.6,9.9,33.4,30.6,78.2,491.1
Manatee,388729,86.2,335084,60923,24.5,9.4,37.3,22.6,82.4,156
Marion,360053,82.1,295604,46775,22,11.4,30.3,30.3,84.2,214.6
Martin,158006,90.1,142363,63178,19.6,7.1,36.2,25.3,78.5,83.6
Miami-Dade,2830500,78.8,2230434,54187,46.6,18,38.5,17.9,74.6,139.4
Monroe,73253,89.3,65415,72225,37.4,8,35.7,20.8,73.8,169.1
Nassau,85135,90.6,77132,71772,18.8,8.6,35.8,25.4,78.4,187
Okaloosa,201104,81.1,163095,65477,32.6,5.9,41.2,24.9,71.7,220
Okeechobee,41347,86.8,35889,42320,26.2,21.7,40.4,35.1,75,265.5
Orange,1389297,68.1,946111,63795,40.5,9.3,37.3,21.6,73.9,152.6
Osceola,368678,79.4,292730,53479,37.5,12.5,36.9,25.8,77.4,160.6
Palm Beach,1458576,74.8,1091015,67966,26.2,8.9,32.4,23.1,83.1,112.3
Pasco,527174,87.9,463386,52223,26.8,10.1,34.5,28,77.5,194.1
Pinellas,979558,82.6,809115,55791,29.8,7.5,36.7,22.3,82,161.9
Polk,688770,78.9,543440,52709,27.5,13.9,36.2,31,77.6,396.2
Putnam,73012,80.3,58629,40973,24.4,17,30.6,34.3,74.8,353.7
Santa Rosa,179875,87.1,156671,69752,23,7.4,37.6,27.5,73.3,263
Sarasota,426977,91.5,390684,63132,23.9,6.2,41.6,22.2,79.7,100.4
Seminole,472775,78.9,373019,70200,31.6,4.6,37.7,20.8,76.6,106.6
St. Johns,249734,88.8,221764,82926,19.4,4.7,34.9,22.9,77.7,72
St. Lucie,309073,74.1,229023,54021,22.8,11.9,36.3,27.4,72.6,159.5
Sumter,130642,90.1,117708,58884,9.5,6.3,45,19.5,90.1,166.9
